rna0	XM_015955279
rna32261	XM_015971552
rna32262	XM_015971555
rna32263	XM_015971553
rna32264	XM_015971556
rna32265	XM_015971547
rna32266	XM_015971550
rna32267	XM_015971551
rna32268	XM_015971549
rna32269	XM_015971546
rna32270	XM_015971566
rna32271	XM_015971567
rna32272	XM_015971565
rna32273	XM_015971561
rna32274	XM_015971560
rna32275	XM_015971562
rna32276	XM_015971559
rna32277	XM_015971563
rna32278	XM_015971573
rna32279	XM_015971569
rna32280	XM_015971571
rna32281	XM_015971572
rna32282	XM_015971570
rna32283	XM_015971568
rna32284	XM_015971578
rna32285	XM_015971575
rna32286	XM_015971579
rna32287	XM_015971580
rna32288	XM_015971577
rna32289	XM_015971576
rna32290	XM_015971581
rna32293	XM_015971584
rna32294	XM_015971583
rna32295	XM_015971587
rna32296	XM_015971585
rna32297	XM_015971586
rna32298	XM_015971588
rna32300	XM_015971533
rna32301	XM_015971589
rna32302	XM_015971590
rna32303	XM_015971592
rna32304	XM_015971591
rna32305	XM_015971594
rna32306	XM_015971596
rna32307	XM_015971595
rna32308	XM_015971597
rna32309	XM_015971598
rna32310	XM_015971599
rna32312	XM_015971600
rna32313	XM_015971604
rna32314	XM_015971603
rna32315	XM_015971606
rna32316	XM_015971601
rna32317	XM_015971605
rna32318	XM_015971607
rna32319	XM_015971608
rna32320	XM_015971609
rna32322	XM_015971610
rna32323	XM_015971612
rna32324	XM_015971613
rna32325	XM_015971616
rna32326	XM_015971615
rna32327	XM_015971614
rna32328	XM_015971617
rna32329	XM_015971618
rna32331	XM_015971619
rna32332	XM_015971620
rna32334	XM_015971621
rna32335	XM_015971626
rna32336	XM_015971625
rna32337	XM_015971624
rna32338	XM_015971623
rna32339	XM_015971628
rna32340	XM_015971627
rna32341	XM_015971629
rna32342	XM_015971630
rna32343	XM_015971632
rna32344	XM_015971631
rna32345	XM_015971634
rna32346	XM_015971633
rna32347	XM_015971636
rna32348	XM_015971637
rna32349	XM_015971638
rna32350	XM_015971639
rna32351	XM_015971642
rna32352	XM_015971640
rna32353	XM_015971641
rna32354	XM_015971646
rna32355	XM_015971645
rna32356	XM_015971643
rna32357	XM_015971644
rna32358	XM_015971647
rna32359	XM_015971648
rna32360	XM_015971649
rna32361	XM_015971650
rna32362	XM_015971651
rna32363	XM_015971653
rna32364	XM_015971652
rna32365	XM_015971654
rna32366	XM_015971656
rna32367	XM_015971659
rna32368	XM_015971657
rna32369	XM_015971658
rna32371	XM_015971660
rna32372	XM_015971661
rna32373	XM_015971662
rna32374	XM_015971663
rna32375	XM_015971534
rna32378	XM_015971665
rna32379	XM_015971664
rna32380	XM_015971666
rna32381	XM_015971668
rna32382	XM_015971670
rna32383	XM_015971669
rna32384	XM_015971672
rna32385	XM_015971671
rna32386	XM_015971673
rna32387	XM_015971674
rna32388	XM_015971677
rna32389	XM_015971676
rna32390	XM_015971682
rna32391	XM_015971691
rna32392	XM_015971686
rna32393	XM_015971688
rna32394	XM_015971690
rna32395	XM_015971687
rna32396	XM_015971684
rna32397	XM_015971685
rna32399	XM_015971692
rna32400	XM_015971683
rna32402	XM_015971693
rna32403	XM_015971695
rna32404	XM_015971694
rna32405	XM_015971696
rna32406	XM_015971698
rna32407	XM_015971699
rna32408	XM_015971700
rna32409	XM_015971701
rna32410	XM_015971702
rna32411	XM_015971734
rna32412	XM_015971720
rna32413	XM_015971723
rna32414	XM_015971721
rna32415	XM_015971722
rna32416	XM_015971739
rna32417	XM_015971715
rna32418	XM_015971717
rna32419	XM_015971716
rna32420	XM_015971718
rna32421	XM_015971708
rna32422	XM_015971733
rna32423	XM_015971707
rna32424	XM_015971709
rna32425	XM_015971711
rna32427	XM_015971729
rna32428	XM_015971732
rna32429	XM_015971712
rna32430	XM_015971713
rna32431	XM_015971714
rna32432	XM_015971735
rna32433	XM_015971737
rna32434	XM_015971740
rna32436	XM_015971704
rna32437	XM_015971706
rna32438	XM_015971705
rna32439	XM_015971703
rna32440	XM_015971727
rna32442	XM_015971738
rna32443	XM_015971730
rna32444	XM_015971731
rna32445	XM_015971725
rna32446	XM_015971726
rna32447	XM_015971724
rna32449	XM_015971741
rna32450	XM_015971743
rna32451	XM_015971746
rna32452	XM_015971744
rna32453	XM_015971745
rna32454	XM_015971747
rna32455	XM_015971748
rna32457	XM_015971678
rna32459	XM_015971680
rna32461	XM_015971681
rna32462	XM_015971751
rna32463	XM_015971750
rna32464	XM_015971755
rna32465	XM_015971756
rna32466	XM_015971754
rna32467	XM_015971757
rna32468	XM_015971752
rna32469	XM_015971759
rna32470	XM_015971760
rna32471	XM_015971762
rna32472	XM_015971761
rna32473	XM_015971763
rna32474	XM_015971765
rna32475	XM_015971764
rna32476	XM_015971767
rna32477	XM_015971768
rna32478	XM_015971770
rna32479	XM_015971769
rna32480	XM_015971771
rna32481	XM_015971772
rna32482	XM_015971774
rna32483	XM_015971775
rna32484	XM_015971780
rna32485	XM_015971779
rna32486	XM_015971778
rna32487	XM_015971777
rna32488	XM_015971776
rna32489	XM_015971786
rna32490	XM_015971788
rna32491	XM_015971783
rna32492	XM_015971785
rna32493	XM_015971789
rna32494	XM_015971784
rna32495	XM_015971781
rna32496	XM_015971782
rna32497	XM_015971790
rna32498	XM_015971794
rna32499	XM_015971793
rna32500	XM_015971792
rna32501	XM_015971791
rna32502	XM_015971795
rna32503	XM_015971798
rna32504	XM_015971796
rna32505	XM_015971799
rna32506	XM_015971800
rna32507	XM_015971801
rna32508	XM_015971802
rna32509	XM_015971805
rna32510	XM_015971806
rna32511	XM_015971803
rna32512	XM_015971804
rna32513	XM_015971808
rna32514	XM_015971810
rna32515	XM_015971809
rna32516	XM_015971811
rna32517	XM_015971812
rna32518	XM_015971814
rna32519	XM_015971815
rna32520	XM_015971813
rna32522	XM_015972428
rna32523	XM_015971817
rna32524	XM_015971816
rna32526	XM_015972474
rna32527	XM_015971819
rna32528	XM_015971820
rna32529	XM_015971821
rna32530	XM_015971824
rna32531	XM_015971822
rna32532	XM_015971823
rna32533	XM_015971826
rna32534	XM_015971825
rna32535	XM_015971828
rna32536	XM_015971834
rna32537	XM_015971833
rna32538	XM_015971832
rna32539	XM_015971831
rna32540	XM_015971829
rna32541	XM_015971830
rna32542	XM_015971835
rna32543	XM_015971837
rna32544	XM_015971838
rna32545	XM_015971839
rna32546	XM_015971841
rna32547	XM_015971840
rna32549	XM_015971843
rna32550	XM_015971842
rna32551	XM_015971844
rna32552	XM_015971848
rna32553	XM_015971845
rna32554	XM_015971846
rna32555	XM_015971849
rna32556	XM_015971850
rna32557	XM_015971851
rna32558	XM_015972429
rna32559	XM_015971853
rna32560	XM_015971852
rna32561	XM_015971856
rna32562	XM_015971855
rna32563	XM_015971857
rna32564	XM_015971858
rna32565	XM_015971859
rna32566	XM_015971860
rna32567	XM_015971862
rna32568	XM_015972430
rna32569	XM_015971863
rna32570	XM_015971864
rna32571	XM_015971865
rna32572	XM_015971866
rna32573	XM_015971867
rna32574	XM_015971870
rna32575	XM_015971868
rna32576	XM_015971871
rna32577	XM_015971872
rna32578	XM_015971875
rna32579	XM_015971873
rna32580	XM_015971877
rna32581	XM_015971876
rna32582	XM_015971878
rna32583	XM_015971879
rna32584	XM_015972431
rna32585	XM_015971880
rna32586	XM_015971883
rna32587	XM_015971881
rna32588	XM_015971884
rna32589	XM_015971894
rna32590	XM_015971893
rna32591	XM_015971895
rna32592	XM_015971896
rna32593	XM_015971886
rna32594	XM_015971885
rna32595	XM_015971888
rna32596	XM_015971887
rna32597	XM_015971889
rna32598	XM_015971891
rna32599	XM_015971890
rna32600	XM_015971897
rna32601	XM_015972475
rna32602	XM_015971898
rna32603	XM_015971900
rna32604	XM_015971899
rna32605	XM_015971901
rna32606	XM_015971902
rna32607	XM_015971903
rna32608	XM_015971909
rna32609	XM_015971908
rna32610	XM_015971906
rna32611	XM_015971907
rna32612	XM_015971905
rna32613	XM_015971911
rna32614	XM_015971910
rna32616	XM_015971915
rna32617	XM_015971912
rna32618	XM_015971914
rna32619	XM_015971916
rna32620	XM_015971917
rna32621	XM_015971919
rna32622	XM_015971918
rna32623	XM_015971920
rna32624	XM_015971922
rna32625	XM_015971923
rna32626	XM_015971924
rna32627	XM_015971925
rna32628	XM_015971926
rna32629	XM_015971943
rna32630	XM_015971927
rna32631	XM_015971934
rna32632	XM_015971936
rna32633	XM_015971938
rna32634	XM_015971933
rna32635	XM_015971935
rna32636	XM_015971937
rna32637	XM_015971939
rna32638	XM_015971940
rna32639	XM_015971942
rna32640	XM_015971929
rna32641	XM_015971931
rna32642	XM_015971928
rna32643	XM_015971932
rna32644	XM_015971945
rna32645	XM_015971944
rna32646	XM_015971946
rna32647	XM_015971948
rna32648	XM_015971949
rna32649	XM_015971947
rna32650	XM_015971951
rna32651	XM_015971952
rna32652	XM_015971955
rna32653	XM_015971953
rna32654	XM_015971954
rna32655	XM_015971956
rna32656	XM_015971957
rna32657	XM_015971958
rna32659	XM_015971960
rna32660	XM_015971961
rna32662	XM_015971962
rna32663	XM_015971964
rna32664	XM_015971970
rna32665	XM_015971969
rna32666	XM_015971967
rna32667	XM_015971971
rna32668	XM_015971966
rna32669	XM_015971972
rna32670	XM_015971965
rna32671	XM_015971976
rna32672	XM_015971974
rna32673	XM_015971973
rna32674	XM_015971975
rna32676	XM_015971977
rna32677	XM_015971979
rna32678	XM_015971978
rna32679	XM_015971980
rna32680	XM_015971982
rna32681	XM_015971983
rna32683	XM_015971994
rna32684	XM_015971991
rna32685	XM_015971992
rna32686	XM_015971993
rna32687	XM_015971989
rna32688	XM_015971988
rna32689	XM_015971987
rna32690	XM_015971985
rna32691	XM_015971986
rna32692	XM_015971984
rna32693	XM_015971995
rna32694	XM_015971997
rna32695	XM_015971996
rna32696	XM_015971998
rna32697	XM_015971999
rna32698	XM_015972000
rna32699	XM_015972001
rna32700	XM_015972003
rna32701	XM_015972004
rna32702	XM_015972008
rna32703	XM_015972007
rna32704	XM_015972009
rna32705	XM_015972005
rna32706	XM_015972006
rna32707	XM_015972010
rna32708	XM_015972011
rna32709	XM_015972012
rna32711	XM_015972013
rna32712	XM_015972015
rna32713	XM_015972016
rna32714	XM_015972017
rna32715	XM_015972018
rna32716	XM_015972020
rna32717	XM_015972019
rna32718	XM_015972022
rna32719	XM_015972023
rna32720	XM_015972021
rna32721	XM_015972024
rna32722	XM_015972025
rna32723	XM_015972026
rna32724	XM_015972027
rna32725	XM_015972029
rna32726	XM_015972030
rna32727	XM_015972031
rna32728	XM_015972033
rna32729	XM_015972032
rna32730	XM_015972035
rna32731	XM_015972034
rna32732	XM_015972036
rna32735	XM_015972037
rna32736	XM_015972041
rna32737	XM_015972042
rna32738	XM_015972043
rna32739	XM_015972039
rna32740	XM_015972040
rna32741	XM_015972044
rna32742	XM_015972045
rna32743	XM_015972047
rna32744	XM_015972046
rna32745	XM_015972048
rna32746	XM_015972051
rna32747	XM_015972049
rna32748	XM_015972052
rna32749	XM_015972055
rna32750	XM_015972056
rna32751	XM_015972054
rna32752	XM_015972053
rna32753	XM_015972057
rna32754	XM_015972058
rna32755	XM_015972060
rna32756	XM_015972059
rna32757	XM_015972061
rna32758	XM_015972432
rna32759	XM_015972062
rna32760	XM_015972063
rna32761	XM_015972064
rna32762	XM_015972065
rna32763	XM_015972066
rna32764	XM_015972067
rna32765	XM_015972068
rna32766	XM_015972069
rna32767	XM_015972070
rna32768	XM_015972071
rna32769	XM_015972433
rna32770	XM_015972074
rna32771	XM_015972075
rna32772	XM_015972073
rna32773	XM_015972076
rna32774	XM_015972478
rna32775	XM_015972079
rna32776	XM_015972077
rna32777	XM_015972078
rna32778	XM_015972080
rna32779	XM_015972081
rna32780	XM_015972082
rna32781	XM_015972083
rna32782	XM_015972084
rna32783	XM_015972085
rna32784	XM_015972087
rna32785	XM_015972088
rna32786	XM_015972089
rna32787	XM_015972091
rna32788	XM_015972090
rna32789	XM_015972097
rna32790	XM_015972096
rna32791	XM_015972093
rna32792	XM_015972095
rna32793	XM_015972092
rna32794	XM_015972099
rna32795	XM_015972100
rna32796	XM_015972098
rna32797	XM_015972101
rna32798	XM_015972103
rna32799	XM_015972102
rna32800	XM_015972104
rna32801	XM_015972105
rna32802	XM_015972106
rna32803	XM_015972109
rna32804	XM_015972111
rna32805	XM_015972108
rna32806	XM_015972113
rna32807	XM_015972112
rna32808	XM_015972110
rna32809	XM_015972114
rna32810	XM_015972116
rna32811	XM_015972115
rna32812	XM_015972117
rna32813	XM_015972118
rna32814	XM_015972119
rna32815	XM_015972122
rna32816	XM_015972123
rna32817	XM_015972124
rna32818	XM_015972120
rna32819	XM_015972125
rna32820	XM_015972127
rna32821	XM_015972126
rna32822	XM_015972128
rna32823	XM_015972434
rna32824	XM_015972129
rna32825	XM_015972131
rna32826	XM_015972130
rna32827	XM_015972133
rna32828	XM_015972134
rna32829	XM_015972135
rna32830	XM_015972138
rna32831	XM_015972136
rna32832	XM_015972137
rna32835	XM_015972140
rna32836	XM_015972141
rna32837	XM_015972142
rna32838	XM_015972143
rna32839	XM_015972144
rna32840	XM_015972145
rna32841	XM_015972147
rna32842	XM_015972149
rna32843	XM_015972146
rna32844	XM_015972150
rna32845	XM_015972153
rna32846	XM_015972152
rna32847	XM_015972151
rna32849	XM_015972162
rna32850	XM_015972159
rna32851	XM_015972158
rna32852	XM_015972161
rna32853	XM_015972156
rna32854	XM_015972154
rna32855	XM_015972157
rna32856	XM_015972155
rna32857	XM_015972164
rna32858	XM_015972165
rna32859	XM_015972163
rna32860	XM_015972171
rna32861	XM_015972169
rna32862	XM_015972168
rna32863	XM_015972167
rna32864	XM_015972166
rna32865	XM_015972172
rna32866	XM_015972173
rna32867	XM_015972174
rna32868	XM_015972176
rna32869	XM_015972177
rna32870	XM_015972178
rna32871	XM_015972180
rna32872	XM_015972182
rna32873	XM_015972179
rna32874	XM_015972183
rna32875	XM_015972181
rna32876	XM_015972186
rna32877	XM_015972187
rna32878	XM_015972185
rna32879	XM_015972184
rna32880	XM_015972188
rna32881	XM_015972189
rna32882	XM_015972191
rna32883	XM_015972190
rna32885	XM_015972194
rna32886	XM_015972193
rna32887	XM_015972192
rna32888	XM_015972195
rna32889	XM_015972196
rna32890	XM_015972197
rna32891	XM_015972436
rna32892	XM_015972437
rna32893	XM_015972198
rna32894	XM_015972199
rna32895	XM_015972201
rna32896	XM_015972200
rna32897	XM_015972204
rna32898	XM_015972202
rna32899	XM_015972209
rna32900	XM_015972205
rna32901	XM_015972206
rna32902	XM_015972207
rna32903	XM_015972214
rna32904	XM_015972212
rna32905	XM_015972213
rna32906	XM_015972211
rna32907	XM_015972210
rna32908	XM_015972215
rna32909	XM_015972217
rna32910	XM_015972218
rna32911	XM_015972219
rna32912	XM_015972220
rna32913	XM_015972221
rna32914	XM_015972222
rna32915	XM_015972223
rna32916	XM_015972224
rna32917	XM_015972225
rna32918	XM_015972226
rna32919	XM_015972229
rna32920	XM_015972227
rna32921	XM_015972230
rna32923	XM_015972235
rna32924	XM_015972234
rna32925	XM_015972237
rna32927	XM_015972231
rna32928	XM_015972232
rna32929	XM_015972233
rna32930	XM_015972438
rna32931	XM_015972238
rna32932	XM_015972239
rna32933	XM_015972240
rna32934	XM_015972243
rna32935	XM_015972241
rna32936	XM_015972245
rna32937	XM_015972246
rna32938	XM_015972244
rna32939	XM_015972247
rna32940	XM_015972248
rna32941	XM_015972249
rna32942	XM_015972250
rna32943	XM_015972251
rna32944	XM_015972252
rna32945	XM_015972254
rna32946	XM_015972253
rna32947	XM_015972255
rna32948	XM_015972256
rna32949	XM_015972257
rna32950	XM_015972259
rna32952	XM_015972262
rna32953	XM_015972260
rna32954	XM_015972261
rna32955	XM_015972263
rna32956	XM_015972265
rna32960	XM_015972267
rna32961	XM_015972266
rna32962	XM_015972270
rna32963	XM_015972271
rna32964	XM_015972268
rna32965	XM_015972269
rna32966	XM_015972278
rna32967	XM_015972272
rna32968	XM_015972274
rna32969	XM_015972277
rna32970	XM_015972273
rna32971	XM_015972275
rna32972	XM_015972279
rna32973	XM_015972280
rna32974	XM_015972281
rna32975	XM_015972282
rna32976	XM_015972283
rna32977	XM_015972284
rna32978	XM_015972287
rna32979	XM_015972288
rna32980	XM_015972286
rna32982	XM_015972292
rna32983	XM_015972289
rna32984	XM_015972290
rna32985	XM_015972291
rna32986	XM_015972293
rna32987	XM_015972294
rna32988	XM_015972299
rna32989	XM_015972301
rna32990	XM_015972295
rna32991	XM_015972304
rna32992	XM_015972298
rna32993	XM_015972302
rna32994	XM_015972303
rna32995	XM_015972305
rna32996	XM_015972297
rna32997	XM_015972300
rna32998	XM_015972306
rna32999	XM_015972307
rna33000	XM_015972309
rna33001	XM_015972308
rna33002	XM_015972310
rna33003	XM_015972313
rna33004	XM_015972314
rna33005	XM_015972315
rna33006	XM_015972312
rna33007	XM_015972316
rna33008	XM_015972317
rna33010	XM_015972322
rna33011	XM_015972318
rna33012	XM_015972319
rna33013	XM_015972321
rna33014	XM_015972320
rna33015	XM_015972326
rna33016	XM_015972327
rna33017	XM_015972323
rna33018	XM_015972325
rna33019	XM_015972329
rna33020	XM_015972330
rna33021	XM_015972331
rna33023	XM_015972335
rna33024	XM_015972336
rna33025	XM_015972333
rna33026	XM_015972337
rna33027	XM_015972334
rna33028	XM_015972343
rna33029	XM_015972339
rna33030	XM_015972342
rna33031	XM_015972340
rna33032	XM_015972338
rna33033	XM_015972341
rna33034	XM_015972345
rna33035	XM_015972344
rna33036	XM_015972347
rna33037	XM_015972351
rna33038	XM_015972350
rna33040	XM_015972349
rna33041	XM_015972348
rna33042	XM_015972352
rna33043	XM_015972353
rna33044	XM_015972354
rna33045	XM_015972355
rna33046	XM_015972356
rna33047	XM_015972357
rna33048	XM_015972359
rna33049	XM_015972360
rna33051	XM_015972361
rna33052	XM_015972362
rna33053	XM_015972364
rna33054	XM_015972363
rna33055	XM_015972366
rna33056	XM_015972368
rna33057	XM_015972365
rna33059	XM_015972369
rna33060	XM_015972370
rna33061	XM_015972439
rna33062	XM_015972371
rna33063	XM_015972372
rna33065	XM_015972378
rna33066	XM_015972377
rna33067	XM_015972375
rna33068	XM_015972376
rna33069	XM_015972374
rna33070	XM_015972373
rna33071	XM_015972380
rna33072	XM_015972382
rna33073	XM_015972381
rna33075	XM_015972383
rna33076	XM_015972385
rna33077	XM_015972384
rna33078	XM_015972386
rna33079	XM_015972387
rna33080	XM_015972388
rna33085	XM_015972390
rna33086	XM_015972391
rna33087	XM_015972393
rna33088	XM_015972392
rna33089	XM_015972394
rna33090	XM_015972395
rna33091	XM_015972396
rna33092	XM_015972399
rna33093	XM_015972397
rna33094	XM_015972400
rna33095	XM_015972403
rna33096	XM_015972401
rna33097	XM_015972402
rna33098	XM_015972406
rna33099	XM_015972409
rna33100	XM_015972405
rna33101	XM_015972404
rna33102	XM_015972410
rna33103	XM_015972411
rna33104	XM_015972414
rna33105	XM_015972412
rna33106	XM_015972413
rna33107	XM_015972441
rna33110	XM_015972415
rna33111	XM_015972416
rna33112	XM_015972417
rna33113	XM_015972422
rna33114	XM_015972420
rna33115	XM_015972418
rna33116	XM_015972419
rna33117	XM_015972423
rna33118	XM_015972424
rna33120	XM_015972425
rna33124	XM_015972426
rna33128	XM_015972450
rna33131	XM_015972452
rna33132	XM_015972453
rna33133	XM_015972454
rna33134	XM_015972455
rna33135	XM_015972456
rna33136	XM_015972458
rna33137	XM_015972459
rna33138	XM_015972463
rna33139	XM_015972462
rna33140	XM_015972460
rna33141	XM_015972461
rna33142	XM_015972468
rna33143	XM_015972465
rna33144	XM_015972467
rna33145	XM_015972464
rna33146	XM_015972472
rna33147	XM_015972473
rna33148	XM_015972470
rna33149	XM_015972469
rna33150	XM_015972476
rna33152	XM_015972480
rna33155	XM_015972483
rna33156	XM_015972484
rna33157	XM_015972486
rna33158	XM_015972485
rna33159	XM_015972487
rna33160	XM_015972489
rna33161	XM_015972490
rna33162	XM_015972491
rna33163	XM_015972492
rna33164	XM_015972493
rna33165	XM_015972494
rna33166	XM_015972495
rna33167	XM_015972496
rna33168	XM_015972497
rna33170	XM_015972503
rna33171	XM_015972502
rna33172	XM_015972505
rna33173	XM_015972504
rna33174	XM_015972508
rna33175	XM_015972506
rna33176	XM_015972500
rna33177	XM_015972499
rna33178	XM_015972501
rna33179	XM_015972509
rna33180	XM_015972511
rna33181	XM_015972512
rna33182	XM_015972510
rna33183	XM_015972513
rna33184	XM_015972516
rna33185	XM_015972514
rna33186	XM_015972515
rna33187	XM_015972517
rna33188	XM_015972518
rna33189	XM_015972519
rna33190	XM_015972521
rna33191	XM_015972522
rna33192	XM_015972523
rna33193	XM_015972524
rna33194	XM_015972525
rna33196	XM_015972526
rna33197	XM_015972527
rna33198	XM_015972528
rna33199	XM_015972529
rna33200	XM_015972530
rna33202	XM_015972533
rna33203	XM_015972534
rna33204	XM_015972531
rna33205	XM_015972535
rna33206	XM_015972538
rna33207	XM_015972536
rna33208	XM_015972539
rna33209	XM_015972541
rna33210	XM_015972540
rna33211	XM_015972543
rna33212	XM_015972544
rna33213	XM_015972546
rna33214	XM_015972545
rna33215	XM_015972547
rna33216	XM_015972548
rna33218	XM_015972549
rna33219	XM_015972442
rna33220	XM_015972550
rna33221	XM_015972552
rna33222	XM_015972554
rna33223	XM_015972553
rna33224	XM_015972563
rna33225	XM_015972562
rna33226	XM_015972565
rna33227	XM_015972564
rna33228	XM_015972555
rna33229	XM_015972561
rna33230	XM_015972560
rna33231	XM_015972556
rna33232	XM_015972557
rna33233	XM_015972559
rna33234	XM_015972567
rna33235	XM_015972566
rna33236	XM_015972569
rna33237	XM_015972568
rna33238	XM_015972570
rna33239	XM_015972573
rna33240	XM_015972572
rna33241	XM_015972576
rna33242	XM_015972575
rna33243	XM_015972574
rna33244	XM_015972577
rna33245	XM_015972578
rna33246	XM_015972580
rna33247	XM_015972581
rna33248	XM_015972599
rna33249	XM_015972587
rna33250	XM_015972591
rna33251	XM_015972586
rna33252	XM_015972590
rna33253	XM_015972589
rna33254	XM_015972595
rna33255	XM_015972594
rna33258	XM_015972592
rna33259	XM_015972593
rna33260	XM_015972583
rna33261	XM_015972582
rna33262	XM_015972598
rna33263	XM_015972596
rna33264	XM_015972585
rna33265	XM_015972584
rna33266	XM_015972597
rna33267	XM_015972601
rna33268	XM_015972602
rna33269	XM_015972605
rna33270	XM_015972603
rna33271	XM_015972604
rna33272	XM_015972481
rna33273	XM_015972606
rna33274	XM_015972609
rna33275	XM_015972607
rna33276	XM_015972610
rna33277	XM_015972611
rna33278	XM_015972612
rna33279	XM_015972613
rna33280	XM_015972614
rna33281	XM_015972619
rna33282	XM_015972615
rna33283	XM_015972616
rna33284	XM_015972620
rna33285	XM_015972443
rna33286	XM_015972622
rna33287	XM_015972621
rna33288	XM_015972444
rna33289	XM_015972624
rna33290	XM_015972623
rna33291	XM_015972625
rna33292	XM_015972626
rna33293	XM_015972627
rna33294	XM_015972628
rna33295	XM_015972629
rna33296	XM_015972482
rna33297	XM_015972638
rna33298	XM_015972642
rna33299	XM_015972640
rna33300	XM_015972639
rna33301	XM_015972633
rna33302	XM_015972635
rna33303	XM_015972632
rna33304	XM_015972637
rna33305	XM_015972636
rna33306	XM_015972634
rna33307	XM_015972631
rna33308	XM_015972643
rna33310	XM_015972644
rna33311	XM_015972645
rna33312	XM_015972646
rna33314	XM_015972647
rna33315	XM_015972649
rna33316	XM_015972648
rna33317	XM_015972650
rna33318	XM_015972651
rna33319	XM_015972653
rna33320	XM_015972654
rna33321	XM_015972655
rna33322	XM_015972656
rna33323	XM_015972657
rna33324	XM_015972658
rna33325	XM_015972659
rna33326	XM_015972660
rna33327	XM_015972662
rna33328	XM_015972661
rna33330	XM_015972665
rna33331	XM_015972663
rna33332	XM_015972667
rna33333	XM_015972666
rna33334	XM_015972668
rna33335	XM_015972669
rna33336	XM_015973057
rna33337	XM_015973058
rna33338	XM_015973055
rna33339	XM_015973040
rna33340	XM_015973084
rna33341	XM_015973011
rna33342	XM_015973010
rna33343	XM_015973033
rna33344	XM_015973034
rna33345	XM_015973035
rna33346	XM_015973030
rna33348	XM_015973062
rna33349	XM_015973061
rna33350	XM_015973072
rna33351	XM_015973041
rna33352	XM_015973043
rna33353	XM_015973042
rna33354	XM_015973045
rna33355	XM_015973044
rna33356	XM_015973023
rna33357	XM_015973026
rna33358	XM_015973028
rna33359	XM_015973027
rna33360	XM_015973024
rna33361	XM_015973025
rna33362	XM_015973094
rna33363	XM_015973031
rna33364	XM_015973032
rna33365	XM_015973083
rna33366	XM_015973082
rna33367	XM_015973080
rna33368	XM_015973078
rna33369	XM_015973077
rna33370	XM_015973079
rna33371	XM_015973064
rna33372	XM_015973076
rna33373	XM_015973065
rna33374	XM_015973092
rna33375	XM_015973004
rna33376	XM_015972996
rna33377	XM_015973009
rna33378	XM_015973002
rna33379	XM_015972998
rna33380	XM_015973000
rna33381	XM_015972999
rna33382	XM_015972997
rna33383	XM_015973001
rna33384	XM_015973007
rna33385	XM_015973003
rna33386	XM_015973006
rna33387	XM_015973008
rna33388	XM_015973054
rna33389	XM_015973052
rna33390	XM_015973053
rna33391	XM_015973051
rna33392	XM_015973071
rna33393	XM_015973059
rna33394	XM_015973060
rna33395	XM_015973091
rna33396	XM_015973067
rna33397	XM_015973039
rna33398	XM_015973038
rna33399	XM_015973090
rna33400	XM_015973019
rna33401	XM_015973020
rna33402	XM_015973022
rna33403	XM_015973021
rna33404	XM_015973048
rna33405	XM_015973049
rna33406	XM_015973046
rna33407	XM_015973087
rna33408	XM_015973073
rna33409	XM_015973086
rna33410	XM_015973017
rna33411	XM_015973014
rna33412	XM_015973016
rna33413	XM_015973012
rna33414	XM_015973013
rna33415	XM_015973089
rna33416	XM_015973074
rna33417	XM_015973088
rna33418	XM_015973063
rna33419	XM_015973018
rna33421	XM_015973075
rna33422	XM_015972995
rna33423	XM_015973066
rna33424	XM_015973070
rna33425	XM_015973069
rna33426	XM_015973036
rna33427	XM_015972988
rna33428	XM_015972991
rna33429	XM_015972992
rna33430	XM_015972993
rna33431	XM_015972994
rna33432	XM_015972989
rna33433	XM_015973050
rna33434	XM_015972674
rna33435	XM_015972676
rna33436	XM_015972673
rna33437	XM_015972675
rna33438	XM_015972671
rna33439	XM_015972670
rna33440	XM_015972677
rna33441	XM_015972678
rna33442	XM_015972679
rna33443	XM_015972680
rna33444	XM_015972681
rna33445	XM_015972692
rna33446	XM_015972691
rna33447	XM_015972693
rna33448	XM_015972682
rna33449	XM_015972689
rna33450	XM_015972685
rna33451	XM_015972690
rna33452	XM_015972683
rna33453	XM_015972687
rna33454	XM_015972684
rna33455	XM_015972688
rna33456	XM_015972694
rna33457	XM_015972695
rna33458	XM_015972697
rna33459	XM_015972699
rna33460	XM_015972696
rna33461	XM_015972701
rna33462	XM_015972698
rna33463	XM_015972702
rna33464	XM_015972703
rna33465	XM_015972704
rna33466	XM_015972706
rna33467	XM_015972705
rna33468	XM_015972707
rna33469	XM_015972708
rna33470	XM_015972709
rna33471	XM_015972711
rna33472	XM_015972710
rna33473	XM_015972712
rna33474	XM_015972714
rna33475	XM_015972446
rna33476	XM_015972718
rna33477	XM_015972715
rna33478	XM_015972717
rna33479	XM_015972716
rna33480	XM_015972719
rna33481	XM_015972720
rna33482	XM_015972721
rna33483	XM_015972723
rna33484	XM_015972724
rna33485	XM_015972727
rna33486	XM_015972725
rna33487	XM_015972726
rna33490	XM_015972728
rna33491	XM_015972729
rna33492	XM_015972731
rna33493	XM_015972732
rna33494	XM_015972733
rna33495	XM_015972735
rna33496	XM_015972734
rna33497	XM_015972736
rna33498	XM_015972737
rna33499	XM_015972739
rna33500	XM_015972740
rna33501	XM_015972738
rna33502	XM_015972741
rna33503	XM_015972743
rna33504	XM_015972744
