ENSLOCP00000000416	lcat (1 of many)	lecithin-cholesterol acyltransferase [Source:ZFIN%3BAcc:ZDB-GENE-010716-3]
ENSLOCP00000022218	unknown	unknown
ENSLOCP00000022219	unknown	unknown
ENSLOCP00000022220	ighv13-2	immunoglobulin heavy variable 13-2 [Source:ZFIN%3BAcc:ZDB-GENE-040514-41]
ENSLOCP00000000992	unknown	unknown
ENSLOCP00000001017	unknown	unknown
ENSLOCP00000001040	unknown	unknown
ENSLOCP00000001058	unknown	unknown
ENSLOCP00000001070	unknown	unknown
ENSLOCP00000001087	unknown	unknown
ENSLOCP00000001115	unknown	unknown
ENSLOCP00000001143	unknown	unknown
ENSLOCP00000001169	unknown	unknown
ENSLOCP00000001197	unknown	unknown
ENSLOCP00000001217	unknown	unknown
ENSLOCP00000001237	unknown	unknown
ENSLOCP00000001260	unknown	unknown
ENSLOCP00000001281	unknown	unknown
ENSLOCP00000001304	unknown	unknown
ENSLOCP00000001328	unknown	unknown
ENSLOCP00000001345	unknown	unknown
ENSLOCP00000001364	unknown	unknown
ENSLOCP00000001389	unknown	unknown
ENSLOCP00000001410	unknown	unknown
ENSLOCP00000001430	unknown	unknown
ENSLOCP00000001448	unknown	unknown
ENSLOCP00000022221	ighv2-3	immunoglobulin heavy variable 2-3 [Source:ZFIN%3BAcc:ZDB-GENE-040514-3]
ENSLOCP00000001472	unknown	unknown
ENSLOCP00000001491	ighv1-2	immunoglobulin heavy variable 1-2 [Source:ZFIN%3BAcc:ZDB-GENE-030924-2]
ENSLOCP00000001509	unknown	unknown
ENSLOCP00000001525	unknown	unknown
ENSLOCP00000001542	unknown	unknown
ENSLOCP00000001559	unknown	unknown
ENSLOCP00000001578	unknown	unknown
ENSLOCP00000001602	unknown	unknown
ENSLOCP00000001630	unknown	unknown
ENSLOCP00000001648	unknown	unknown
ENSLOCP00000001666	unknown	unknown
ENSLOCP00000001691	unknown	unknown
ENSLOCP00000001708	unknown	unknown
ENSLOCP00000001718	unknown	unknown
ENSLOCP00000001729	unknown	unknown
ENSLOCP00000001746	unknown	unknown
ENSLOCP00000001769	slc5a2	solute carrier family 5 (sodium/glucose cotransporter)%2C member 2 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2498]
ENSLOCP00000001788	cadm3	cell adhesion molecule 3 [Source:ZFIN%3BAcc:ZDB-GENE-060512-196]
ENSLOCP00000001804	cadm3	cell adhesion molecule 3 [Source:ZFIN%3BAcc:ZDB-GENE-060512-196]
ENSLOCP00000001824	unknown	unknown
ENSLOCP00000001848	mpz	myelin protein zero [Source:ZFIN%3BAcc:ZDB-GENE-010724-4]
ENSLOCP00000001864	unknown	unknown
ENSLOCP00000001881	unknown	unknown
ENSLOCP00000001902	unknown	unknown
ENSLOCP00000001917	unknown	unknown
ENSLOCP00000001933	unknown	unknown
ENSLOCP00000001958	unknown	unknown
ENSLOCP00000001948	unknown	unknown
ENSLOCP00000001973	unknown	unknown
ENSLOCP00000001992	unknown	unknown
ENSLOCP00000002007	unknown	unknown
ENSLOCP00000002021	unknown	unknown
ENSLOCP00000002039	atp1a2a	ATPase%2C Na+/K+ transporting%2C alpha 2a polypeptide [Source:ZFIN%3BAcc:ZDB-GENE-001212-6]
ENSLOCP00000002060	lig1	ligase I%2C DNA%2C ATP-dependent [Source:ZFIN%3BAcc:ZDB-GENE-110404-2]
ENSLOCP00000002080	unknown	unknown
ENSLOCP00000002118	unknown	unknown
ENSLOCP00000002089	unknown	unknown
ENSLOCP00000002102	unknown	unknown
ENSLOCP00000002128	unknown	unknown
ENSLOCP00000002149	unknown	unknown
ENSLOCP00000002174	unknown	unknown
ENSLOCP00000002162	unknown	unknown
ENSLOCP00000002215	copa	coatomer protein complex%2C subunit alpha [Source:ZFIN%3BAcc:ZDB-GENE-020905-2]
ENSLOCP00000002231	unknown	unknown
ENSLOCP00000002249	unknown	unknown
ENSLOCP00000002268	unknown	unknown
ENSLOCP00000002314	arhgef11	Rho guanine nucleotide exchange factor (GEF) 11 [Source:ZFIN%3BAcc:ZDB-GENE-070604-1]
ENSLOCP00000002330	arhgef11	Rho guanine nucleotide exchange factor (GEF) 11 [Source:ZFIN%3BAcc:ZDB-GENE-070604-1]
ENSLOCP00000002297	arhgef11	Rho guanine nucleotide exchange factor (GEF) 11 [Source:ZFIN%3BAcc:ZDB-GENE-070604-1]
ENSLOCP00000002349	unknown	unknown
ENSLOCP00000002375	unknown	unknown
ENSLOCP00000022322	si:dkeyp-66d1.7	si:dkeyp-66d1.7 [Source:ZFIN%3BAcc:ZDB-GENE-070912-662]
ENSLOCP00000002393	unknown	unknown
ENSLOCP00000002411	trim110	tripartite motif containing 110 [Source:ZFIN%3BAcc:ZDB-GENE-070912-10]
ENSLOCP00000002423	trim110	tripartite motif containing 110 [Source:ZFIN%3BAcc:ZDB-GENE-070912-10]
ENSLOCP00000002430	unknown	unknown
ENSLOCP00000002452	casq1b	calsequestrin 1b [Source:ZFIN%3BAcc:ZDB-GENE-060929-1070]
ENSLOCP00000022323	unknown	unknown
ENSLOCP00000002468	unknown	unknown
ENSLOCP00000002478	unknown	unknown
ENSLOCP00000002498	unknown	unknown
ENSLOCP00000002540	unknown	unknown
ENSLOCP00000002519	unknown	unknown
ENSLOCP00000002554	unknown	unknown
ENSLOCP00000002567	unknown	unknown
ENSLOCP00000002582	unknown	unknown
ENSLOCP00000002597	unknown	unknown
ENSLOCP00000002629	unknown	unknown
ENSLOCP00000002666	unknown	unknown
ENSLOCP00000002653	unknown	unknown
ENSLOCP00000002680	unknown	unknown
ENSLOCP00000002716	unknown	unknown
ENSLOCP00000002696	unknown	unknown
ENSLOCP00000002731	unknown	unknown
ENSLOCP00000002750	unknown	unknown
ENSLOCP00000002770	btr12	bloodthirsty-related gene family%2C member 12 [Source:ZFIN%3BAcc:ZDB-GENE-060929-548]
ENSLOCP00000002802	unknown	unknown
ENSLOCP00000002818	unknown	unknown
ENSLOCP00000002838	unknown	unknown
ENSLOCP00000002850	unknown	unknown
ENSLOCP00000002869	unknown	unknown
ENSLOCP00000002894	unknown	unknown
ENSLOCP00000002910	unknown	unknown
ENSLOCP00000002926	unknown	unknown
ENSLOCP00000002945	si:cabz01007802.1	si:cabz01007802.1 [Source:ZFIN%3BAcc:ZDB-GENE-160728-30]
ENSLOCP00000002968	unknown	unknown
ENSLOCP00000002987	si:ch211-63p21.1	si:ch211-63p21.1 [Source:ZFIN%3BAcc:ZDB-GENE-141216-443]
ENSLOCP00000003007	hnrnpc	heterogeneous nuclear ribonucleoprotein C [Source:ZFIN%3BAcc:ZDB-GENE-040426-2043]
ENSLOCP00000003020	unknown	unknown
ENSLOCP00000003041	unknown	unknown
ENSLOCP00000003084	unknown	unknown
ENSLOCP00000003064	unknown	unknown
ENSLOCP00000003098	unknown	unknown
ENSLOCP00000003113	unknown	unknown
ENSLOCP00000003134	unknown	unknown
ENSLOCP00000003145	si:dkey-30c15.13	si:dkey-30c15.13 [Source:ZFIN%3BAcc:ZDB-GENE-060503-73]
ENSLOCP00000003167	klhl33	kelch-like family member 33 [Source:ZFIN%3BAcc:ZDB-GENE-131016-4]
ENSLOCP00000003180	unknown	unknown
ENSLOCP00000003194	unknown	unknown
ENSLOCP00000003213	SEPT1	septin 1 [Source:HGNC Symbol%3BAcc:HGNC:2879]
ENSLOCP00000003231	dctpp1	dCTP pyrophosphatase 1 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1741]
ENSLOCP00000003250	QPRT	quinolinate phosphoribosyltransferase [Source:HGNC Symbol%3BAcc:HGNC:9755]
ENSLOCP00000003278	BCKDK (1 of many)	branched chain ketoacid dehydrogenase kinase [Source:HGNC Symbol%3BAcc:HGNC:16902]
ENSLOCP00000003299	HRASLS2	HRAS like suppressor 2 [Source:HGNC Symbol%3BAcc:HGNC:17824]
ENSLOCP00000003315	unknown	unknown
ENSLOCP00000003352	stx4	syntaxin 4 [Source:ZFIN%3BAcc:ZDB-GENE-030131-2455]
ENSLOCP00000003379	stx1b	syntaxin 1B [Source:ZFIN%3BAcc:ZDB-GENE-000330-4]
ENSLOCP00000003395	unknown	unknown
ENSLOCP00000003408	unknown	unknown
ENSLOCP00000003431	unknown	unknown
ENSLOCP00000003452	unknown	unknown
ENSLOCP00000003461	CLCA2 (1 of many)	chloride channel accessory 2 [Source:HGNC Symbol%3BAcc:HGNC:2016]
ENSLOCP00000003486	CLCA2 (1 of many)	chloride channel accessory 2 [Source:HGNC Symbol%3BAcc:HGNC:2016]
ENSLOCP00000003507	unknown	unknown
ENSLOCP00000003530	unknown	unknown
ENSLOCP00000022324	unknown	unknown
ENSLOCP00000022325	unknown	unknown
ENSLOCP00000003545	unknown	unknown
ENSLOCP00000003563	unknown	unknown
ENSLOCP00000003583	unknown	unknown
ENSLOCP00000003602	unknown	unknown
ENSLOCP00000022326	unknown	unknown
ENSLOCP00000022327	unknown	unknown
ENSLOCP00000003616	unknown	unknown
ENSLOCP00000003633	unknown	unknown
ENSLOCP00000003645	unknown	unknown
ENSLOCP00000003664	btr30	bloodthirsty-related gene family%2C member 30 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1407]
ENSLOCP00000003681	rpusd4	RNA pseudouridylate synthase domain containing 4 [Source:ZFIN%3BAcc:ZDB-GENE-040801-238]
ENSLOCP00000003698	unknown	unknown
ENSLOCP00000003729	unknown	unknown
ENSLOCP00000003710	unknown	unknown
ENSLOCP00000003748	unknown	unknown
ENSLOCP00000003767	unknown	unknown
ENSLOCP00000003784	unknown	unknown
ENSLOCP00000022328	b2ml	beta-2-microglobulin%2C like [Source:ZFIN%3BAcc:ZDB-GENE-040426-2136]
ENSLOCP00000003806	unknown	unknown
ENSLOCP00000003823	unknown	unknown
ENSLOCP00000003835	unknown	unknown
ENSLOCP00000003852	unknown	unknown
ENSLOCP00000003868	unknown	unknown
ENSLOCP00000003888	unknown	unknown
ENSLOCP00000003900	unknown	unknown
ENSLOCP00000003918	si:ch73-81k8.2	si:ch73-81k8.2 [Source:ZFIN%3BAcc:ZDB-GENE-130531-20]
ENSLOCP00000003935	si:ch73-81k8.2	si:ch73-81k8.2 [Source:ZFIN%3BAcc:ZDB-GENE-130531-20]
ENSLOCP00000003946	unknown	unknown
ENSLOCP00000003961	unknown	unknown
ENSLOCP00000003974	unknown	unknown
ENSLOCP00000003997	unknown	unknown
ENSLOCP00000004016	unknown	unknown
ENSLOCP00000004033	unknown	unknown
ENSLOCP00000004047	unknown	unknown
ENSLOCP00000004068	unknown	unknown
ENSLOCP00000004087	unknown	unknown
ENSLOCP00000004112	unknown	unknown
ENSLOCP00000004132	unknown	unknown
ENSLOCP00000004151	zmp:0000001082	zmp:0000001082 [Source:ZFIN%3BAcc:ZDB-GENE-140106-42]
ENSLOCP00000004213	unknown	unknown
ENSLOCP00000004231	unknown	unknown
ENSLOCP00000004248	unknown	unknown
ENSLOCP00000004288	wu:fj30f06	wu:fj30f06 [Source:ZFIN%3BAcc:ZDB-GENE-030131-7567]
ENSLOCP00000004265	wu:fj30f06	wu:fj30f06 [Source:ZFIN%3BAcc:ZDB-GENE-030131-7567]
ENSLOCP00000004302	unknown	unknown
ENSLOCP00000004350	unknown	unknown
ENSLOCP00000004364	unknown	unknown
ENSLOCP00000004378	unknown	unknown
ENSLOCP00000004405	unknown	unknown
ENSLOCP00000004418	marveld1	MARVEL domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-050208-33]
ENSLOCP00000004432	si:ch211-197k17.3	si:ch211-197k17.3 [Source:ZFIN%3BAcc:ZDB-GENE-110914-193]
ENSLOCP00000004454	pi4k2a	phosphatidylinositol 4-kinase type 2 alpha [Source:ZFIN%3BAcc:ZDB-GENE-040426-2675]
ENSLOCP00000004470	cdc25d	cell division cycle 25 homolog d [Source:ZFIN%3BAcc:ZDB-GENE-090313-74]
ENSLOCP00000004482	cdc25d	cell division cycle 25 homolog d [Source:ZFIN%3BAcc:ZDB-GENE-090313-74]
ENSLOCP00000004501	exosc1	exosome component 1 [Source:ZFIN%3BAcc:ZDB-GENE-080926-3]
ENSLOCP00000022329	si:dkey-15f17.8	si:dkey-15f17.8 [Source:ZFIN%3BAcc:ZDB-GENE-090313-192]
ENSLOCP00000004525	zdhhc16a	zinc finger%2C DHHC-type containing 16a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1621]
ENSLOCP00000004558	mms19	MMS19 homolog%2C cytosolic iron-sulfur assembly component [Source:ZFIN%3BAcc:ZDB-GENE-120316-2]
ENSLOCP00000004574	ubtd1a	ubiquitin domain containing 1a [Source:ZFIN%3BAcc:ZDB-GENE-070424-93]
ENSLOCP00000004603	rrp12	ribosomal RNA processing 12 homolog [Source:ZFIN%3BAcc:ZDB-GENE-050706-182]
ENSLOCP00000004632	antxr1d	anthrax toxin receptor 1d [Source:ZFIN%3BAcc:ZDB-GENE-090313-28]
ENSLOCP00000004647	prdm8	PR domain containing 8 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2747]
ENSLOCP00000004664	irbpl	interphotoreceptor retinoid-binding protein like [Source:ZFIN%3BAcc:ZDB-GENE-070301-4]
ENSLOCP00000004678	gdf2	growth differentiation factor 2 [Source:ZFIN%3BAcc:ZDB-GENE-100107-1]
ENSLOCP00000004694	gdf10b	growth differentiation factor 10b [Source:ZFIN%3BAcc:ZDB-GENE-120316-1]
ENSLOCP00000004722	unknown	unknown
ENSLOCP00000004744	mapk8b	mitogen-activated protein kinase 8b [Source:ZFIN%3BAcc:ZDB-GENE-010202-1]
ENSLOCP00000004759	si:dkey-191m6.4	si:dkey-191m6.4 [Source:ZFIN%3BAcc:ZDB-GENE-121214-182]
ENSLOCP00000004782	si:dkey-191m6.4	si:dkey-191m6.4 [Source:ZFIN%3BAcc:ZDB-GENE-121214-182]
ENSLOCP00000004804	si:ch211-223a10.1	si:ch211-223a10.1 [Source:ZFIN%3BAcc:ZDB-GENE-090313-86]
ENSLOCP00000004835	wdfy4	WDFY family member 4 [Source:ZFIN%3BAcc:ZDB-GENE-090313-322]
ENSLOCP00000004850	wdfy4	WDFY family member 4 [Source:ZFIN%3BAcc:ZDB-GENE-090313-322]
ENSLOCP00000004868	lrrc18a	leucine rich repeat containing 18a [Source:ZFIN%3BAcc:ZDB-GENE-090313-323]
ENSLOCP00000004887	vstm4a	V-set and transmembrane domain containing 4a [Source:ZFIN%3BAcc:ZDB-GENE-060810-69]
ENSLOCP00000004904	vstm4a	V-set and transmembrane domain containing 4a [Source:ZFIN%3BAcc:ZDB-GENE-060810-69]
ENSLOCP00000004922	unknown	unknown
ENSLOCP00000004948	drgx	dorsal root ganglia homeobox [Source:ZFIN%3BAcc:ZDB-GENE-070330-1]
ENSLOCP00000004963	unknown	unknown
ENSLOCP00000004990	ercc6	excision repair cross-complementation group 6 [Source:ZFIN%3BAcc:ZDB-GENE-070228-1]
ENSLOCP00000005006	cxcl12b	chemokine (C-X-C motif) ligand 12b (stromal cell-derived factor 1) [Source:ZFIN%3BAcc:ZDB-GENE-030721-1]
ENSLOCP00000005021	tmem72	transmembrane protein 72 [Source:ZFIN%3BAcc:ZDB-GENE-090313-175]
ENSLOCP00000005045	RASSF4	Ras association domain family member 4 [Source:HGNC Symbol%3BAcc:HGNC:20793]
ENSLOCP00000005069	si:dkey-275b16.2	si:dkey-275b16.2 [Source:ZFIN%3BAcc:ZDB-GENE-090312-204]
ENSLOCP00000005086	mtg1	mitochondrial ribosome-associated GTPase 1 [Source:ZFIN%3BAcc:ZDB-GENE-031110-2]
ENSLOCP00000005101	echs1	enoyl CoA hydratase%2C short chain%2C 1%2C mitochondrial [Source:ZFIN%3BAcc:ZDB-GENE-030616-617]
ENSLOCP00000005116	fuom	fucose mutarotase [Source:ZFIN%3BAcc:ZDB-GENE-030616-618]
ENSLOCP00000005136	unknown	unknown
ENSLOCP00000005157	caly	calcyon neuron-specific vesicular protein [Source:ZFIN%3BAcc:ZDB-GENE-090313-405]
ENSLOCP00000005170	msx1b	muscle segment homeobox 1b [Source:ZFIN%3BAcc:ZDB-GENE-980526-26]
ENSLOCP00000005191	znf511	zinc finger protein 511 [Source:ZFIN%3BAcc:ZDB-GENE-030616-621]
ENSLOCP00000005208	tubgcp2	tubulin%2C gamma complex associated protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-031118-150]
ENSLOCP00000005235	adam8b	ADAM metallopeptidase domain 8b [Source:ZFIN%3BAcc:ZDB-GENE-070808-1]
ENSLOCP00000005247	adam8b	ADAM metallopeptidase domain 8b [Source:ZFIN%3BAcc:ZDB-GENE-070808-1]
ENSLOCP00000005263	unknown	unknown
ENSLOCP00000005283	erlin1	ER lipid raft associated 1 [Source:ZFIN%3BAcc:ZDB-GENE-050327-13]
ENSLOCP00000005304	chuk	conserved helix-loop-helix ubiquitous kinase [Source:ZFIN%3BAcc:ZDB-GENE-040426-1069]
ENSLOCP00000005321	chuk	conserved helix-loop-helix ubiquitous kinase [Source:ZFIN%3BAcc:ZDB-GENE-040426-1069]
ENSLOCP00000005343	plaua	plasminogen activator%2C urokinase a [Source:ZFIN%3BAcc:ZDB-GENE-090313-278]
ENSLOCP00000005356	VCL	vinculin [Source:HGNC Symbol%3BAcc:HGNC:12665]
ENSLOCP00000005373	unknown	unknown
ENSLOCP00000005393	ap3m1	adaptor-related protein complex 3%2C mu 1 subunit [Source:ZFIN%3BAcc:ZDB-GENE-021015-2]
ENSLOCP00000005406	ADK	adenosine kinase [Source:HGNC Symbol%3BAcc:HGNC:257]
ENSLOCP00000005426	kat6b	K(lysine) acetyltransferase 6B [Source:ZFIN%3BAcc:ZDB-GENE-000607-52]
ENSLOCP00000005443	unknown	unknown
ENSLOCP00000005460	dusp13a	dual specificity phosphatase 13a [Source:ZFIN%3BAcc:ZDB-GENE-080204-69]
ENSLOCP00000005478	si:ch211-223p8.8	si:ch211-223p8.8 [Source:ZFIN%3BAcc:ZDB-GENE-090313-91]
ENSLOCP00000005498	SAMD8	sterile alpha motif domain containing 8 [Source:HGNC Symbol%3BAcc:HGNC:26320]
ENSLOCP00000005515	vdac2	voltage-dependent anion channel 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-845]
ENSLOCP00000005538	vdac2	voltage-dependent anion channel 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-845]
ENSLOCP00000005560	unknown	unknown
ENSLOCP00000005578	unknown	unknown
ENSLOCP00000005594	ifit8	interferon-induced protein with tetratricopeptide repeats 8 [Source:ZFIN%3BAcc:ZDB-GENE-051127-17]
ENSLOCP00000005640	COMTD1	catechol-O-methyltransferase domain containing 1 [Source:HGNC Symbol%3BAcc:HGNC:26309]
ENSLOCP00000005615	COMTD1	catechol-O-methyltransferase domain containing 1 [Source:HGNC Symbol%3BAcc:HGNC:26309]
ENSLOCP00000005655	znf503	zinc finger protein 503 [Source:ZFIN%3BAcc:ZDB-GENE-031113-5]
ENSLOCP00000005673	c13h10orf11	c13h10orf11 homolog (H. sapiens) [Source:ZFIN%3BAcc:ZDB-GENE-050522-285]
ENSLOCP00000005707	kcnma1a	potassium large conductance calcium-activated channel%2C subfamily M%2C alpha member 1a [Source:ZFIN%3BAcc:ZDB-GENE-070202-9]
ENSLOCP00000005727	kcnma1a	potassium large conductance calcium-activated channel%2C subfamily M%2C alpha member 1a [Source:ZFIN%3BAcc:ZDB-GENE-070202-9]
ENSLOCP00000005760	dlg5b.1	discs%2C large homolog 5b (Drosophila)%2C tandem duplicate 1 [Source:ZFIN%3BAcc:ZDB-GENE-120206-4]
ENSLOCP00000005778	dlg5b.1	discs%2C large homolog 5b (Drosophila)%2C tandem duplicate 1 [Source:ZFIN%3BAcc:ZDB-GENE-120206-4]
ENSLOCP00000005793	unknown	unknown
ENSLOCP00000005823	anxa11b	annexin A11b [Source:ZFIN%3BAcc:ZDB-GENE-030707-5]
ENSLOCP00000005839	zcchc24	zinc finger%2C CCHC domain containing 24 [Source:ZFIN%3BAcc:ZDB-GENE-030131-3573]
ENSLOCP00000005862	ppifa	peptidylprolyl isomerase Fa [Source:ZFIN%3BAcc:ZDB-GENE-040912-52]
ENSLOCP00000005887	zmiz1a	zinc finger%2C MIZ-type containing 1a [Source:ZFIN%3BAcc:ZDB-GENE-080220-27]
ENSLOCP00000005906	zmiz1a	zinc finger%2C MIZ-type containing 1a [Source:ZFIN%3BAcc:ZDB-GENE-080220-27]
ENSLOCP00000005922	rps24	ribosomal protein S24 [Source:ZFIN%3BAcc:ZDB-GENE-040109-5]
ENSLOCP00000005959	polr3a	polymerase (RNA) III (DNA directed) polypeptide A [Source:ZFIN%3BAcc:ZDB-GENE-050208-103]
ENSLOCP00000005976	qrfpra	pyroglutamylated RFamide peptide receptor a [Source:ZFIN%3BAcc:ZDB-GENE-090313-105]
ENSLOCP00000005992	tbata	thymus%2C brain and testes associated [Source:ZFIN%3BAcc:ZDB-GENE-121030-4]
ENSLOCP00000006015	unknown	unknown
ENSLOCP00000006052	unknown	unknown
ENSLOCP00000006036	unknown	unknown
ENSLOCP00000006076	ADAMTS14	ADAM metallopeptidase with thrombospondin type 1 motif 14 [Source:HGNC Symbol%3BAcc:HGNC:14899]
ENSLOCP00000006108	pald1b	phosphatase domain containing%2C paladin 1b [Source:ZFIN%3BAcc:ZDB-GENE-070424-88]
ENSLOCP00000006128	pald1b	phosphatase domain containing%2C paladin 1b [Source:ZFIN%3BAcc:ZDB-GENE-070424-88]
ENSLOCP00000006143	ndr2	nodal-related 2 [Source:ZFIN%3BAcc:ZDB-GENE-990415-181]
ENSLOCP00000006167	eif4ebp2	eukaryotic translation initiation factor 4E binding protein 2 [Source:ZFIN%3BAcc:ZDB-GENE-031118-83]
ENSLOCP00000006191	lrrc20	leucine rich repeat containing 20 [Source:ZFIN%3BAcc:ZDB-GENE-041114-49]
ENSLOCP00000006215	NPFFR1	neuropeptide FF receptor 1 [Source:HGNC Symbol%3BAcc:HGNC:17425]
ENSLOCP00000006254	ppa1a	pyrophosphatase (inorganic) 1a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1695]
ENSLOCP00000006239	ppa1a	pyrophosphatase (inorganic) 1a [Source:ZFIN%3BAcc:ZDB-GENE-040426-1695]
ENSLOCP00000006272	SAR1A	secretion associated Ras related GTPase 1A [Source:HGNC Symbol%3BAcc:HGNC:10534]
ENSLOCP00000006296	tysnd1	trypsin domain containing 1 [Source:ZFIN%3BAcc:ZDB-GENE-030131-8525]
ENSLOCP00000006321	spock2	sparc/osteonectin%2C cwcv and kazal-like domains proteoglycan (testican) 2 [Source:ZFIN%3BAcc:ZDB-GENE-090312-170]
ENSLOCP00000006345	ascc1	activating signal cointegrator 1 complex subunit 1 [Source:ZFIN%3BAcc:ZDB-GENE-050417-80]
ENSLOCP00000006363	anapc16	anaphase promoting complex subunit 16 [Source:ZFIN%3BAcc:ZDB-GENE-050417-430]
ENSLOCP00000006378	ddit4	DNA-damage-inducible transcript 4 [Source:ZFIN%3BAcc:ZDB-GENE-031002-35]
ENSLOCP00000006402	dnajb12b	DnaJ (Hsp40) homolog%2C subfamily B%2C member 12b [Source:ZFIN%3BAcc:ZDB-GENE-070410-128]
ENSLOCP00000006425	unknown	unknown
ENSLOCP00000006448	wnt8b	wingless-type MMTV integration site family%2C member 8b [Source:ZFIN%3BAcc:ZDB-GENE-990415-279]
ENSLOCP00000006509	sec31b	SEC31 homolog B%2C COPII coat complex component [Source:ZFIN%3BAcc:ZDB-GENE-060418-2]
ENSLOCP00000006486	sec31b	SEC31 homolog B%2C COPII coat complex component [Source:ZFIN%3BAcc:ZDB-GENE-060418-2]
ENSLOCP00000006536	ndufb8	NADH dehydrogenase (ubiquinone) 1 beta subcomplex%2C 8 [Source:ZFIN%3BAcc:ZDB-GENE-040426-1858]
ENSLOCP00000006552	hif1an	hypoxia inducible factor 1%2C alpha subunit inhibitor [Source:ZFIN%3BAcc:ZDB-GENE-030826-19]
ENSLOCP00000006570	si:ch73-111m19.2	si:ch73-111m19.2 [Source:ZFIN%3BAcc:ZDB-GENE-130603-13]
ENSLOCP00000006588	fbxl15	F-box and leucine-rich repeat protein 15 [Source:ZFIN%3BAcc:ZDB-GENE-040426-2440]
ENSLOCP00000006605	cuedc2	CUE domain containing 2 [Source:ZFIN%3BAcc:ZDB-GENE-030131-6283]
ENSLOCP00000006627	pax2a	paired box 2a [Source:ZFIN%3BAcc:ZDB-GENE-990415-8]
ENSLOCP00000006640	pax2a	paired box 2a [Source:ZFIN%3BAcc:ZDB-GENE-990415-8]
ENSLOCP00000006681	chst3a	carbohydrate (chondroitin 6) sulfotransferase 3a [Source:ZFIN%3BAcc:ZDB-GENE-090312-180]
ENSLOCP00000006662	chst3a	carbohydrate (chondroitin 6) sulfotransferase 3a [Source:ZFIN%3BAcc:ZDB-GENE-090312-180]
ENSLOCP00000006708	GHITM	growth hormone inducible transmembrane protein [Source:HGNC Symbol%3BAcc:HGNC:17281]
ENSLOCP00000006729	cdhr1a	cadherin-related family member 1a [Source:ZFIN%3BAcc:ZDB-GENE-040924-4]
ENSLOCP00000006752	lrit2	leucine-rich repeat%2C immunoglobulin-like and transmembrane domains 2 [Source:ZFIN%3BAcc:ZDB-GENE-050522-160]
ENSLOCP00000006791	lrit1a	leucine-rich repeat%2C immunoglobulin-like and transmembrane domains 1a [Source:ZFIN%3BAcc:ZDB-GENE-040924-5]
ENSLOCP00000006776	lrit1a	leucine-rich repeat%2C immunoglobulin-like and transmembrane domains 1a [Source:ZFIN%3BAcc:ZDB-GENE-040924-5]
ENSLOCP00000006808	rgra	retinal G protein coupled receptor a [Source:ZFIN%3BAcc:ZDB-GENE-040924-6]
ENSLOCP00000022330	slc18a3a	solute carrier family 18 (vesicular acetylcholine transporter)%2C member 3a [Source:ZFIN%3BAcc:ZDB-GENE-060929-990]
ENSLOCP00000006839	chata	choline O-acetyltransferase a [Source:ZFIN%3BAcc:ZDB-GENE-080102-2]
ENSLOCP00000006867	zgc:153142	zgc:153142 [Source:ZFIN%3BAcc:ZDB-GENE-061013-507]
ENSLOCP00000006890	PARG	poly(ADP-ribose) glycohydrolase [Source:HGNC Symbol%3BAcc:HGNC:8605]
ENSLOCP00000006948	myof	myoferlin [Source:ZFIN%3BAcc:ZDB-GENE-040426-1138]
ENSLOCP00000006970	myof	myoferlin [Source:ZFIN%3BAcc:ZDB-GENE-040426-1138]
ENSLOCP00000006995	cep55l	centrosomal protein 55 like [Source:ZFIN%3BAcc:ZDB-GENE-050522-222]
ENSLOCP00000007019	rbp4	retinol binding protein 4%2C plasma [Source:ZFIN%3BAcc:ZDB-GENE-000210-19]
ENSLOCP00000007037	rbp4	retinol binding protein 4%2C plasma [Source:ZFIN%3BAcc:ZDB-GENE-000210-19]
ENSLOCP00000007066	pde6c	phosphodiesterase 6C%2C cGMP-specific%2C cone%2C alpha prime [Source:ZFIN%3BAcc:ZDB-GENE-040426-1664]
ENSLOCP00000007086	fra10ac1	FRA10A associated CGG repeat 1 [Source:ZFIN%3BAcc:ZDB-GENE-041010-95]
ENSLOCP00000007102	lgi1b	leucine-rich%2C glioma inactivated 1b [Source:ZFIN%3BAcc:ZDB-GENE-060217-1]
ENSLOCP00000007122	si:ch211-197g18.2	si:ch211-197g18.2 [Source:ZFIN%3BAcc:ZDB-GENE-121214-166]
ENSLOCP00000007165	plce1	phospholipase C%2C epsilon 1 [Source:ZFIN%3BAcc:ZDB-GENE-061212-4]
ENSLOCP00000007151	plce1	phospholipase C%2C epsilon 1 [Source:ZFIN%3BAcc:ZDB-GENE-061212-4]
ENSLOCP00000007187	noc3l	NOC3-like DNA replication regulator [Source:ZFIN%3BAcc:ZDB-GENE-030131-9878]
ENSLOCP00000007198	noc3l	NOC3-like DNA replication regulator [Source:ZFIN%3BAcc:ZDB-GENE-030131-9878]
